[-1.084683946978052e-8,-8.737343364762213e-9]
[-2.2430990609405364e-9,-8.718486043594422e-9]
[8.517190902693592e-9,3.232907347150343e-8]
[-1.9953755130069424e-9,-2.6522141851904352e-8]
[-3.2817729957762405e-9,1.6301425243990727e-8]
[5.133329693784822e-9,5.1294865034167625e-9]
[-2.556547118308504e-8,2.441145321634489e-9]
[-2.4655764224002697e-8,-4.978785960968163e-8]
[-2.1734880978401747e-9,-2.715760927530791e-8]
[-2.2298935067923197e-8,-3.567959540042201e-8]
[4.6778811970781914e-8,-4.4986573455010775e-7]
[-2.1163775231659505e-8,3.4339820638854123e-9]
[-8.340120884749661e-10,2.839523980838591e-9]
[-1.3329521781784153e-8,-6.1887459753247475e-9]
[1.3008450888417645e-9,-2.9883470079822944e-9]
[2.6907834001722155e-8,3.10760375761121e-8]
[2.7923391167850666e-8,-4.227192920252067e-8]
[-1.6381056170240097e-7,-1.5021286013725398e-7]
[-2.233172621899028e-9,-1.3592539225727188e-8]
[1.8309085765277668e-9,6.513026563024787e-9]
[7.910850621079225e-9,-6.699293202141081e-10]
[3.01873623573116e-8,5.442461549345946e-9]
[-1.4417238103178124e-10,-1.2272936879680204e-8]
[-4.984603174664448e-11,-2.771595450820137e-9]
[0,0]
[-5.454467149706678e-9,-2.234820441059216e-9]
[2.8835050601266017e-10,-1.2655647706926036e-9]
[4.8831822935852764e-11,1.5874037106670382e-8]
[2.5130946138845164e-9,-2.8852558633281548e-9]
[-3.32925688002318e-9,-8.091117190481858e-9]
[-2.0271016010985482e-9,-3.3824337306734033e-9]
[6.781045462984232e-10,-5.719683588222377e-9]
[1.1833891088817618e-9,4.333024785483441e-9]
[3.060016519421919e-8,-4.9685122286094434e-8]
[5.281775235590682e-9,1.8023169947408105e-8]
[3.832427785856872e-9,-8.323373976198236e-9]
[2.9615718973732354e-9,-3.156837353473943e-8]
[2.92444702789981e-9,-4.215458204686619e-9]
[-2.2057659887705264e-8,-4.982170511713258e-8]
[-7.069739871280377e-9,-9.182516087373419e-8]
[3.070485828476043e-9,5.017939174262374e-9]
[3.730551627198405e-10,2.192457929529808e-9]
[-2.56396207950381e-9,-1.0214810800169183e-8]
[2.607190585791303e-9,-2.9157365002609526e-9]
[-1.2774347660598506e-9,6.957243961446884e-9]
[-1.1639236784205817e-8,-5.5637567773144195e-8]
[1.0467133603241036e-8,3.781247839688233e-8]
[-2.4603686510605682e-9,-6.417823455334159e-10]
[2.2049776692485115e-9,5.905524216809644e-9]
[-1.1463770982370024e-8,-4.343849719303314e-9]
[-5.810869190179549e-9,4.598885104095009e-9]
[-2.4300836913405874e-8,-1.559523647457354e-8]
[-1.8568753341736903e-9,-2.9311321548880754e-8]
[-2.3345747344021046e-9,-3.97091408887833e-9]
[6.274843713539188e-9,-2.2034225602915464e-8]
[8.262852558339249e-10,5.47295203577761e-9]
[-1.0436772886984324e-8,-6.043191908268375e-10]
[3.4018205699914685e-9,4.428931850995692e-9]
[0,0]
[9.52380895780516e-11,-5.56431277971588e-9]
[2.1306789107314484e-8,1.0470388829392512e-8]
[-5.456809899091492e-9,4.2670991173796383e-10]
[2.0447339924075917e-8,1.2385954435200427e-8]
[3.085891492043922e-8,1.3224404842890072e-8]
[9.866754510772e-10,7.80149380681041e-9]
[-7.734342113393647e-9,-3.1693822735124697e-8]
[9.66114860037458e-9,1.1471550677303857e-9]
[0,0]
[2.7294754973068298e-8,-1.3399434037240435e-8]
[-3.639127873832288e-9,9.449826676807197e-9]
[7.88867359129884e-10,2.325176962272434e-9]
[-2.375777795023591e-9,6.91077494475989e-9]
[1.2968327724940787e-9,-3.4034296672703714e-8]
[8.063192494399285e-8,-1.6193668451656006e-9]
[-1.223177394389091e-8,2.814209658680274e-9]
[3.459085132181091e-9,-7.1745788441262354e-9]
[-2.412455711030998e-9,3.362832433607726e-8]
[4.1365882842538845e-10,-3.360777518374831e-9]
[2.903061323504796e-9,-4.473785334692223e-9]
[-1.0060271060640224e-7,-4.236802357554825e-9]
[-4.435925088682152e-9,-4.641670254328674e-9]
[4.399695158212681e-10,2.501982494789127e-9]
[-3.877809011313914e-10,-2.73206891956444e-9]
[-1.1790328572755975e-8,-1.7058030905674854e-8]
[-2.1172160149004823e-9,1.6635993278500402e-9]
[-8.828081006271185e-8,9.535365543571254e-8]
[3.346427809560316e-9,5.115866429430449e-9]
[8.213353604214597e-8,-1.257729245921213e-7]
[0,0]
[-1.3015693784340198e-7,2.7442578172387356e-7]
[1.6193274078518865e-9,6.916634427336782e-10]
[-4.6377942122329736e-9,-1.3290739825052557e-8]
[-3.4564329906578085e-9,-1.4363313978534314e-8]
[-3.7374829576830205e-9,-2.4314429713809233e-8]
[0,0]
[3.8566378309369954e-8,-3.625946471593854e-8]
[-2.40307280630545e-9,-1.708939500953041e-8]
[-1.609119050653737e-9,-1.8738751637089535e-9]
[-8.418213692611942e-9,5.253663651236011e-9]
[-2.687472714440724e-9,-7.202189800442758e-9]
[2.594876519366488e-10,-3.2060565224835653e-9]
[-2.8606292810583366e-9,1.2184947267497989e-8]
[8.596691701206387e-9,-1.4233043682940817e-8]
[5.919256480931805e-9,-3.93159616697857e-8]
[-1.1639614659570786e-9,2.520236853473132e-9]
[-2.6956630539650294e-9,1.5417879159835167e-9]
[4.465671510130191e-10,3.723286689065953e-9]
[-3.0571102134875666e-8,5.586476417021695e-10]
[-5.86279399803837e-11,-8.096272331479873e-10]
[-3.418684496924204e-10,4.35161788133424e-9]
[-2.8755281988843664e-9,1.08893136612641e-9]
[-5.717516348631305e-10,1.8292010462496664e-8]
[-1.3409146855110609e-9,2.6221661978028415e-9]
[-1.0213263488248525e-9,2.1565917300140817e-8]
[8.886522650292083e-8,-3.3183354474387863e-8]
[5.276613299572958e-9,-1.848642381448243e-9]
[-8.649707983404304e-11,-5.4573267682715475e-9]
[1.022927931516369e-9,-4.933556751952944e-10]
[-1.1771434133172503e-9,1.2649198942558835e-9]
[2.377614224564399e-9,-1.0188219163880386e-8]
[7.699248536618337e-8,-7.366914239083425e-8]
[1.3535087609527393e-8,-1.3503565993926324e-8]
[9.994321778915993e-10,-7.024414145012243e-10]
[-1.5225785226816045e-7,-1.062018456489192e-7]
[-2.1555447451749923e-9,8.630737925921856e-9]
[8.140700654763971e-9,1.4929396235085875e-9]
[-2.1671385104692527e-8,2.6956973082163254e-8]
[-2.083874023875116e-9,-9.394692993777468e-10]
[-1.317697054520087e-9,-3.6277742648016554e-9]
[9.99706406661858e-9,1.7469736356502938e-9]
[-3.504466595562168e-8,1.859368621618937e-8]
[3.930588977856918e-8,1.1331891527324549e-8]
[9.420718706684774e-10,4.497588935326e-9]
[-1.0456881866470619e-8,5.600141896180499e-8]
[1.4189632155019932e-7,-2.0290541495122885e-7]
[9.38125404820121e-10,-4.5653139900353347e-10]
[1.2750112526636919e-9,-8.837139257201246e-9]
[-5.1356880963755215e-9,-6.112111070827546e-8]
[-1.8625830046890471e-9,-1.4260167370617212e-8]
[2.0240935040206913e-9,-3.580553567642318e-8]
[-2.535349957526352e-9,-1.08511307527812e-9]
[5.37960536559991e-9,1.0036191393643768e-8]
[1.782723503013766e-9,-7.270181133764574e-9]
[2.1298978582561753e-10,-2.234768324969962e-8]
[-1.0396174714650964e-9,-9.209659275089012e-9]
[2.498523504619593e-9,1.1038021282331248e-7]
[4.069789296049452e-8,1.11328320293716e-8]
[2.621696247599045e-8,5.428084404341514e-8]
[1.2793824083478064e-9,-4.882167871291985e-9]
[7.182744193785012e-8,-4.4315491324249325e-8]
[3.2817198356649915e-9,1.3827763274583065e-8]
[-3.51289450398541e-9,8.584184016850475e-10]
[5.293324374248014e-9,5.639173283617237e-8]
[-8.103699060194077e-10,1.3602256155765568e-8]
[2.289962645742551e-9,4.380300569625802e-9]
[-1.0462666385945484e-8,-1.9164712919339585e-8]
[-9.81298857463684e-9,2.49562690339724e-8]
[3.7520711384149326e-8,-2.334040053759148e-8]
[1.4481421250480892e-8,2.244796688238495e-9]
[-4.80599250077429e-7,-1.1197229014916566e-8]
[1.0754967506007321e-9,-1.4838532188657545e-9]
[3.3642090352231934e-9,-1.8445718780998657e-9]
[-2.3834112066354906e-8,-2.566517459708571e-9]
[-9.144126521627836e-9,1.9798216312236877e-8]
[1.4821941099814874e-9,-2.4374131329577505e-8]
[-4.479122645894402e-9,8.30503764930136e-9]
[-3.976244344894507e-8,-9.008637245692532e-9]
[1.6130893623964964e-9,-9.378733107264313e-9]
[-1.4940610953029574e-8,2.3161641042334284e-8]
[5.728063292565744e-7,-1.423710769009213e-7]
[-1.0060612102766231e-8,2.2359875453753187e-10]
[2.386317496437429e-7,2.0242251573120674e-8]
[1.099021548257666e-8,-1.8209895533630833e-7]
[1.9626099967813574e-8,-2.2861847997206735e-9]
[-2.0674981572544548e-8,-2.766196773336916e-8]
[5.490363542140866e-10,3.9358132565206256e-9]
[-1.69419344335276e-7,3.4373674251287097e-8]
[-1.0746110441854927e-8,1.5144681666043118e-8]
[-7.668997176758039e-10,-3.5458769486407673e-9]
[2.518584025425654e-9,6.495717838195787e-9]
[2.5531013800343046e-9,7.0387965542927645e-9]
[1.0295148475964173e-8,1.8644481311951027e-8]
[-5.351451195866289e-8,-2.988649633110214e-8]
[-4.3549033428636155e-8,1.2729822754816572e-7]
[-1.1541551871308313e-9,1.7320967528173495e-9]
[7.21697028345859e-8,-1.2386366979523766e-8]
[-3.6150337955529824e-9,1.4035777370438708e-8]
[6.49617803518023e-8,-1.8966567300683155e-8]
[1.8223346539643482e-9,-2.502692314477049e-10]
[8.018368040517926e-8,9.585579520140518e-8]
[-3.924441696632886e-9,-1.2504894853608353e-8]
[-1.592315916522367e-9,6.769940990028925e-9]
[4.690144388128273e-9,-8.762730663600694e-9]
[-1.2723379002432448e-9,-2.5387688328611324e-10]
[-3.0233745085580783e-9,1.1449346180745948e-8]
[4.212713204985635e-9,-5.744593661103586e-8]
[-8.069836758274387e-11,-3.6674847084687414e-9]
[1.2197456228975693e-8,-8.476375248957813e-9]
[-1.7330923975736083e-8,-5.6356917053043615e-8]
[-6.824808023067608e-9,-1.6679228232190148e-9]
[-1.1354641710724904e-9,2.7596819605891616e-9]
[-1.520289808621664e-8,1.538590654350942e-8]
[-9.460629925197846e-9,-1.065976458838639e-8]
[-6.1121074671853645e-9,1.429840564036866e-9]
[-3.794991489597815e-8,4.4769083357172776e-8]
[3.6665120730227805e-9,3.216604740914431e-8]
[-9.37160616487527e-8,3.634187692833343e-8]
[-1.7841646892301797e-7,-1.2966262066259784e-7]
[0,0]
[8.929128356799514e-10,-9.91802977263293e-10]
[-8.359821820429024e-8,6.845935291089473e-8]
[-1.7675690530901584e-9,1.8286290982873397e-8]
[2.2783313710804265e-8,2.2483325726875965e-8]
[2.3420163799515278e-9,-2.0389329103452988e-8]
[2.550971260802982e-8,-3.396897636529831e-8]
[6.001775997369509e-9,-4.574055539206205e-9]
[3.3883804986619224e-8,-3.2092313043139895e-8]
[6.658714047398025e-8,1.2351052919244275e-8]
[6.579797928883476e-10,1.3995012086853863e-8]
[-5.746184230563013e-9,-6.051060932214139e-9]
[-2.4626324674661172e-8,-3.2667524316881893e-8]
[6.74841498777148e-9,1.4044884616844511e-8]
[-1.6554239974448432e-7,9.587134473597462e-8]
[2.1429512192498725e-9,2.1980483073724928e-8]
[5.386360184674293e-9,-4.959721577638982e-9]
[-7.389834448609123e-10,1.2920008755378065e-8]
[4.713374284964223e-8,3.3931575549913254e-8]
[-4.207298432799363e-9,-1.6338071923430187e-8]
[-4.3169185135264515e-9,5.07853836461958e-9]
[-2.9788925069106492e-9,-2.96381989157095e-9]
[0,0]
[-5.153723323938033e-8,-4.653641230100346e-9]
[-7.084669878732602e-9,9.335795852395376e-9]
[0,0]
[-9.933481570001374e-11,5.0225930413655e-9]
[4.0226431731159595e-8,2.3310307779928774e-9]
[8.684476387873315e-9,3.352246100670637e-8]
[-4.297631925183422e-9,1.314311774886101e-8]
[-5.160467041733968e-9,-6.259147395964683e-9]
[-9.112031430923255e-9,-3.0842081942320595e-8]
[-6.005055022718802e-9,-6.638615506287278e-9]
[1.4696961807281574e-8,-1.9159362467612198e-8]
[7.60627496409131e-9,-5.395198179229012e-8]
[3.9919243949082105e-9,-7.4247255197928295e-9]
[2.0768674899921164e-9,3.3435755067673453e-9]
[0,0]
[-8.035292300159387e-8,-6.503726298764369e-7]
[-1.5238764846892733e-8,2.0326581325529396e-8]
[1.697896105689898e-9,2.1640976429266968e-9]
[-2.3920723707674045e-8,-1.5323712891012777e-9]
[-1.5518029219932296e-8,-2.1190976266318898e-8]
[-2.2480209193239925e-7,-1.9423850000827076e-8]
[1.2538885480856507e-8,3.067389974081952e-10]
[1.4816529776197532e-7,6.7711461069080534e-9]
[0,0]
[3.214025012865927e-9,1.1919948972744588e-8]
[7.094144124985912e-10,4.81898231882418e-9]
[-2.1302586903816775e-7,1.734828614516543e-7]
[3.284489413894485e-10,-1.4121956708433633e-9]
